10001, 232
20001, 1522
30080, 209
40056, 333
50056, 475
60076, 410
70064, 643
80060, 577
90020, 609
100020, 798
110008, 429
120004, 389
130004, 398
140092, 376
150076, 379
160076, 383
170100, 425
180100, 362
190064, 469
200044, 941
210044, 913
220004, 307
230076, 300
240032, 254
250072, 394
260100, 440
270084, 1670
280012, 1875
290096, 255
300080, 270
310080, 300
320092, 276
330024, 259
340024, 387
350020, 1203
360020, 1061
370008, 285
380060, 1501
390044, 301
400044, 2190
410044, 1030
420060, 1013
430024, 1945
440092, 944
450100, 761
460060, 3174
470092, 434
480016, 1041
490044, 643
500028, 1169
510012, 244
520040, 1241
530024, 281
540024, 332
550060, 233
560072, 254
570056, 293
580076, 272
590060, 614
600020, 883
610072, 222
620056, 754
630056, 401
640008, 246
650008, 793
660064, 410
670064, 419
680076, 403
690076, 1457
700056, 238
710060, 983
720044, 798
730028, 230
740028, 286
750100, 264
760100, 258
770100, 288
780100, 1109
790100, 1144
800100, 2560
810100, 944
820100, 292
830012, 2506
840056, 473
850056, 310
860056, 226
870024, 719
880060, 1421
890060, 1087
900060, 250
910052, 370
920036, 1348
930036, 328
940064, 236
950020, 227
960076, 906
970080, 275
980064, 685
990064, 278
1000064, 286
1010060, 305
1020048, 303
1030072, 330
1040072, 307
1050044, 880
1060044, 311
1070056, 442
1080040, 360
1090024, 389
1100052, 433
1110036, 460
1120064, 680
1130048, 510
1140056, 447
1150012, 763
1160088, 543
1170072, 451
1180056, 1377
1190072, 379
1200068, 568
1210052, 872
1220012, 654
1230012, 144
1240016, 103
1250016, 100
1260016, 95
1270016, 120
1280016, 105
1290016, 114
1300016, 872
1310016, 110
1320016, 99
1330016, 131
1340016, 145
1350016, 83
1360016, 142
1370016, 107
1380016, 253
1390016, 321
1400016, 107
1410016, 140
1420016, 2984
1430016, 101
1440016, 128
1450016, 158
1460016, 196
1470016, 145
1480016, 173
1490008, 164
1500008, 129
1510008, 144
1520008, 94
1530008, 114
1540008, 136
1550008, 2041
1560008, 266
1570008, 169
1580008, 190
1590008, 2625
1600008, 2656
1610008, 2407
1620007, 1959
1630006, 4479
1640006, 2092
1650005, 4006
